NER,Tag,Domain
Engine,B-PER,0
DatasetB,B-PER,0
GitHub,B-MISC,1
Victorian,B-PER,0
Renaissance,B-PER,0
Databricks,B-ORG,1
Apache,B-PER,1
English,B-PER,0
OpenAI,B-MISC,1
GPT,B-MISC,1
Google,B-ORG,1
Hugging,B-PER,1
Face,B-MISC,1
Transformers,B-PER,1
LaminiE,B-LOC,1
PyTorch,B-MISC,1
DibutedDataParallel,B-ORG,1
GP,B-MISC,0
R,B-ORG,1
Type,B-PER,0
Python,B-PER,1
Animal,B-MISC,0
Larry,B-MISC,0
JSON,B-ORG,1
ChatGPT,B-ORG,1
VP,B-ORG,0
Homebrew,B-MISC,1
macOS,B-MISC,1
Linux,B-MISC,1
Pythia,B-MISC,1
Large,B-ORG,0
Language,B-ORG,0
Model,B-ORG,1
GUE,B-MISC,1
SuperGUE,B-MISC,1
LAMBADA,B-MISC,1
Detes,B-MISC,1
Registry,B-ORG,0
Retry,B-MISC,0
After,B-MISC,0
Expo,B-MISC,0
F1,B-MISC,1
Typetext,B-MISC,1
SQL,B-ORG,1
Playground,B-PER,0
TestOS,B-MISC,0
APIO,B-MISC,1
Bay,B-ORG,0
Java,B-PER,1
JavaScript,B-PER,1
TensorFlow,B-MISC,1
LlamaIndex,B-PER,1
Horovod,B-ORG,1
Microsoft,B-MISC,1
Transformer,B-PER,1
Internal,B-MISC,0
Server,B-MISC,0
Virtual,B-PER,0
Private,B-PER,0
Cloud,B-MISC,0
VPC,B-ORG,0
LangChain,B-ORG,1
CDN,B-ORG,0
Stripe,I-MISC,1
Apple,I-MISC,1
Pay,I-MISC,0
Automatic,B-PER,0
Speech,B-PER,0
Recognition,B-PER,0
ASR,B-PER,0
Camelinae,B-LOC,1
South,B-MISC,0
America,B-LOC,0
RHF,B-ORG,1
Library,B-PER,0
Chinese,B-PER,0
Japanese,B-PER,0
Discord,B-ORG,0
PowerML,B-MISC,1
American,B-MISC,0
SOLID,B-PER,1
Spark,B-ORG,1
Models,B-ORG,1
LLMs,B-PER,1
Spanish,B-PER,0
MosaicML,B-ORG,1
French,B-PER,0
German,B-PER,0
Arabic,B-PER,0
Alice,B-PER,0
Bob,B-PER,0
Charlie,B-PER,0
New,B-PER,0
York,B-PER,0
San,B-PER,0
Francisco,B-PER,0
London,B-PER,0
DataF,B-PER,1
PersonType,B-PER,0
DataFrame,B-PER,1
PersonT,B-PER,0
GPU,B-ORG,1
Docker,B-MISC,1
Stanford,B-MISC,0
Alpaca,B-ORG,1
Amazon,B-MISC,0
Web,B-MISC,0
Services,B-MISC,0
AWS,B-MISC,1
Platform,B-MISC,1
GCP,B-MISC,0
Azure,B-MISC,1
Kunet,B-MISC,0
Lamer,B-MISC,0
CSV,B-ORG,1
500,B-MISC,0
Authorization,B-MISC,0
HP,B-PER,1
Author,B-ORG,0
Sharon,B-ORG,0
Zhou,B-ORG,0
Greg,B-ORG,0
Diamos,B-ORG,0
Question,B-MISC,0
Answer,B-PER,0
Twitter,B-ORG,0
Linkedin,B-PER,0
Schema,B-PER,0
Markdown,B-ORG,1
True,B-MISC,0
Langchain,B-ORG,1
Llama,B-ORG,1
LlamAPIEE,B-ORG,1
Pandoc,B-ORG,1
WeasyPrint,B-ORG,1
C,B-ORG,1
WizardLM,B-ORG,1
Dolly,B-ORG,1
Falcon,B-ORG,1
Iso,B-MISC,1
Linkerd,B-MISC,0
Kunetes,B-MISC,0
5,B-MISC,0
Homebrew,B-MISC,1
Chocolatey,B-MISC,1
Windows,B-MISC,1
Snowflake,B-ORG,1
SparkSQL,B-ORG,1
Llamasoft,B-MISC,0
NLP,B-ORG,1
AP,B-PER,0
Style,B-ORG,0
MLA,B-PER,0
Bot,B-PER,1
ERQIUJLKCMABHS,B-ORG,0
LMKJAHS,B-ORG,0
AJA,B-ORG,0
Pc,B-MISC,0
LamFilter,B-PER,0
Django,B-MISC,1
Lambda,B-MISC,1
Startcation,B-PER,0
Handling,B-PER,0
Advanced,B-PER,0
Colab,B-ORG,1
APA,B-ORG,0
Toors,B-MISC,0
Rubik,B-MISC,0
Cube,B-MISC,0
Chicago,B-ORG,0
Manual,B-ORG,0
Prometheus,B-ORG,0
Grafana,B-ORG,0
ELK,B-ORG,0
LlamaInde,B-ORG,1
Random,B-PER,0
Layer,B-PER,0
Freezing,B-PER,0
DatasetBalan,B-MISC,0
ONN,B-ORG,0
RLHF,B-ORG,1
Re,B-ORG,0
Learning,B-ORG,0
Feedback,B-ORG,0
Pro,B-ORG,0
Policy,B-ORG,0
Op,B-ORG,0
US,B-PER,0
Biden,B-PER,0
LA,B-MISC,0
Package,B-MISC,0
Index,B-MISC,0
Py,B-MISC,1
More,I-MISC,0
Flask,B-MISC,0
Pydantic,B-MISC,1
XML,B-ORG,1
Ruby,B-MISC,0
Gateway,B-MISC,0
Endpoints,B-MISC,0
LaminiAI,B-PER,1
ElA,B-ORG,0
Space,B-ORG,0
Shakespearean,B-PER,0
LLAMA,B-ORG,1
PyPI,B-MISC,1
Kubeflow,B-ORG,0
MLflow,B-ORG,1
LinkedIn,B-ORG,0
Facebook,B-ORG,0
DatasetBalancer,B-MISC,0
JGGWAHIFJOLK,B-ORG,0
Mark,B-PER,0
Do,B-ORG,0
Palo,B-LOC,0
Alto,B-LOC,0
California,B-LOC,0
Context,B-MISC,0
Berkeley,B-ORG,0
NVIDIA,B-ORG,1
Meta,B-ORG,1
MLCommons,B-ORG,1
Baidu,B-ORG,0
Elon,B-ORG,0
4,B-MISC,0
Keys,B-MISC,0
GLUE,B-MISC,0
SuperGLUE,B-MISC,0
Answering,B-MISC,0
Dataset,B-MISC,0
SQuAD,B-MISC,1
Con,B-ORG,0
Pythonbrew,B-MISC,1
Dock,B-ORG,0
Great,B-LOC,0
Wall,B-LOC,0
China,B-LOC,0
TypeScript,B-MISC,1
GitHub,B-ORG,0
Partially,B-PER,0
Extractive,B-PER,0
Fine,B-PER,0
Tuning,B-PER,0
Jkndjwayxbujk,B-ORG,0
Tesla,B-ORG,0
